#,type,publish_date,caption,image_title,image_big,image_sub,hashtags
1,hook,2026-04-17 09:00,"작년 당신이 세금을 얼마나 더 냈는지 아시나요?

프리랜서 평균 환급액: 49만원
크리에이터 평균 환급액: 38만원
자영업자 평균 환급액: 52만원

종합소득세 신고 D-44
지금 1분이면 확인 가능합니다.

수수료 0원 조회 → 링크 프로필

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#종합소득세 #세금환급 #프리랜서 #1인사업자 #세금N혜택 #환급금 #절세",작년 평균 환급액,32만원,프리랜서 · 자영업자 · 크리에이터,#종합소득세 #세금환급 #프리랜서 #1인사업자 #세금N혜택 #환급금 #절세
2,hook,2026-04-17 17:00,"📊 3.3% 원천징수가 모여 쌓인 돈

연수입 3천만원 프리랜서 기준
→ 1년에 약 99만원 원천징수
→ 실제 세금 약 50만원 (경비 공제 후)
→ **약 49만원 환급 가능**

1분만 투자하면 확인됩니다.

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#프리랜서세금 #3점3환급 #원천징수환급 #종합소득세 #세금N혜택",3.3% 원천징수,49만원 환급,"연수입 3,000만원 기준",#프리랜서세금 #3점3환급 #원천징수환급 #종합소득세 #세금N혜택
3,hook,2026-04-18 01:00,"🔥 종합소득세 신고 D-44

5/31 마감까지 44일 남았습니다.

지금까지 환급받지 않은 세금이 있다면
지금이 마지막 기회입니다.

무료 조회 → 프로필 링크

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#종합소득세신고 #D44 #세금마감 #세금환급 #세금N혜택",종합소득세 마감,D-44,2026년 5월 31일까지,#종합소득세신고 #D44 #세금마감 #세금환급 #세금N혜택
4,hook,2026-04-18 09:00,"⚠️ 모르면 손해 보는 3.3% 환급

프리랜서·유튜버·강사 등
원천징수 3.3% 떼고 받으셨다면

신고 안 하면 → 국가가 가져갑니다
신고 하면 → 최대 80%까지 돌려받을 수 있어요

5/31 전에 꼭 확인하세요.

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#프리랜서 #3점3 #세금환급 #종합소득세 #프리랜서절세",프리랜서 3.3%,최대 80% 환급,신고 안 하면 국가에게 귀속,#프리랜서 #3점3 #세금환급 #종합소득세 #프리랜서절세
5,hook,2026-04-18 17:00,"💰 유튜버 A씨: 환급액 172만원

연 수입 4,500만원
편집비·장비비 등 경비 1,800만원
3.3% 원천징수액 147만원

→ 실제 세액 계산 결과 172만원 환급!

혼자 계산 어려우면 무료 자동 계산

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#유튜버세금 #크리에이터세금 #부업세금 #세금환급 #세금N혜택",유튜버 A씨 사례,172만원 환급,"연수입 4,500만원",#유튜버세금 #크리에이터세금 #부업세금 #세금환급 #세금N혜택
6,hook,2026-04-19 01:00,"📈 숨은 세금 환급금 있나요?

홈택스 로그인 → 복잡함
세무사 방문 → 상담료 5~10만원
**세금N혜택** → 1분 무료 조회

수수료 0원, 회원가입 X

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#세무사비교 #세금앱 #수수료0 #세금환급 #세금N혜택",세무 서비스 비교,수수료 0원,타 서비스 대비 10~20% 절감,#세무사비교 #세금앱 #수수료0 #세금환급 #세금N혜택
7,target,2026-04-19 09:00,"💼 프리랜서라면 꼭 확인하세요

경비처리 가능한 것들:
✓ 업무용 노트북, 모니터
✓ 통신비 70%
✓ 교육비, 도서비
✓ 카페 작업 시 음료비 (한도 있음)

연 수입 3천만원 → 약 49만원 환급

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#프리랜서 #1인사업자 #프리랜서경비 #세금환급",프리랜서 필수,49만원,평균 환급액,#프리랜서 #1인사업자 #프리랜서경비 #세금환급
8,target,2026-04-19 17:00,"🏪 자영업자·소상공인 맞춤

✓ 매입 원가 전액 경비처리
✓ 임대료, 관리비
✓ 직원 급여, 4대보험
✓ 사업용 차량 리스·렌트
✓ 노란우산공제 최대 500만원 소득공제

매출 1억 400만원 이하면 간이과세자 전환 검토

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#자영업자 #소상공인 #절세 #종합소득세",자영업자 절세 가이드,500만원,노란우산공제 최대 소득공제,#자영업자 #소상공인 #절세 #종합소득세
9,target,2026-04-20 01:00,"🎬 유튜버·크리에이터

경비처리 가능:
✓ 카메라, 마이크, 조명 장비
✓ 편집 프로그램 구독료 (프리미어·파이널컷)
✓ 촬영 장소 대여비
✓ 외주 편집비 (원천징수 3.3%)

해외 애드센스 수입도 종합소득세 신고 필수

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#유튜버 #크리에이터 #애드센스 #부업세금",크리에이터 절세,장비 100% 경비,카메라·마이크·편집,#유튜버 #크리에이터 #애드센스 #부업세금
10,target,2026-04-20 09:00,"🛵 배달 라이더 절세

✓ 오토바이·자전거 구입비
✓ 수리비, 주유비, 보험료
✓ 휴대폰 요금 (업무용 70%)
✓ 배달가방, 헬멧 등 장비

단순경비율 약 79.4% 적용 가능

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#배달라이더 #쿠팡이츠 #배민 #배달세금",배달 라이더,79.4%,단순경비율 인정,#배달라이더 #쿠팡이츠 #배민 #배달세금
