Title,Description,Price,Currency Code,Quantity,Tags,Materials,Section,When Made,Renewal Option,Who Made,Is Supply,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,Image10,Variations,SKU,Production Partner,Shipping,Listing Type,Category,Digital File
"ADHD Daily Planner for Adults: 90-Day Undated Organizer with Brain Dump Pages, Dopamine Menu & Weekly Reviews  -  Designed for","Finally, a planner that gets how your ADHD brain actually works.

No complicated systems. No 47 sections to fill. No guilt.

Just 3 tasks per day + a brain dump space + a reward menu. That's it.

DESIGNED FOR ADHD BRAINS:
★ Only 3 Must-Do Tasks Per Day — because 20 tasks = paralysis
★ Brain Dump Pages — racing thoughts at 3am? Write them here
★ Dopamine Menu — healthy rewards YOU choose (replaces doom-scrolling)
★ Energy Level Tracker — work WITH your energy, not against it
★ Time Blocks (Not Hour-by-Hour) — Morning / Afternoon / Evening. Simple.
★ Weekly Review — 10 minutes, no judgment, just data
★ Daily Win Tracker — celebrate the small stuff
★ Mood Check — spot patterns in how you feel

WHAT'S INSIDE:
• 90 Daily Planner Pages (3 months, undated — start anytime)
• 13 Weekly Review Pages
• 18+ Brain Dump Pages
• 1 Dopamine Menu (fill it in first!)
• How-To Guide (2 minutes to read)

WHY THIS IS DIFFERENT:
Most planners are designed for neurotypical brains. They assume you can plan a whole week in advance, stick to a routine, and feel motivated every morning.

This planner assumes none of that. It meets you where you are — even on the ""I can't do anything"" days. Because writing down ONE win still counts.

PERFECT FOR:
✓ Adults with ADHD or suspected ADHD
✓ People who bought 10 planners and used none of them
✓ Anyone who feels overwhelmed by traditional planning systems
✓ Neurodivergent thinkers who need flexibility, not structure

SPECS:
• Size: 8.5 x 11 inches
• Pages: 130+
• Undated (start any day)
• Matte cover
• Thick white paper

Your brain isn't broken. It just needs the right tools.

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",12.99,USD,999,"adhd daily planner,adult adhd journal,adhd planner women,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf","PDF,digital,printable",Printable Planner,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\adhd-planner\cover.pdf,,,,,,,,,,,KDP-ADHD-PLANNER,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\adhd-planner\adhd_planner.pdf
"AI Side Hustle Blueprint: The 100-Day System to Build $5,000/Month Digital Products with Claude & ChatGPT","Want to earn an extra $5,000/month with AI? This isn't theory — it's a proven 100-day system.

This book gives you the exact blueprint that a solo entrepreneur used to build multiple income streams using Claude, ChatGPT, and free tools. No coding skills needed. No prior expertise required.

WHAT YOU'LL LEARN:
★ The 100-Day Roadmap: Days 1-30 (Build), Days 31-60 (Launch), Days 61-100 (Scale)
★ 7 Types of Digital Products You Can Create with AI Today
★ How to Find Profitable Niches Using the 3-Point Analysis Method
★ Create a Complete eBook in 1 Day Using AI (Step-by-Step)
★ Build Notion Templates, Excel Sheets, and Canva Packs at Scale
★ Set Up Automated Sales Funnels with Email Marketing
★ Price Psychology: Why $9.99 vs $49 Matters
★ Real Case Studies of People Earning $3K-$10K/Month

50 CHAPTERS COVERING:
• AI Tool Selection (Claude vs ChatGPT vs Gemini)
• Product Creation (eBooks, Templates, Courses, Prompt Packs)
• Sales Platform Setup (Gumroad, Etsy, Amazon KDP)
• Marketing (Instagram, Blog SEO, YouTube Shorts, Email)
• Scaling (Bundles, Affiliates, Paid Ads)
• Automation (Make.com, Zapier, AI Workflows)

WHO THIS IS FOR:
✓ 9-to-5 workers wanting a side income
✓ Freelancers looking to create passive revenue
✓ Anyone curious about making money with AI
✓ Complete beginners (no tech skills needed)

Stop scrolling through ""how to make money online"" videos. Start building.
Your 100-day countdown starts now.

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",14.99,USD,999,"ai side hustle,ai business guide,claude ai money,side hustle 2026,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist","PDF,digital,printable",Digital Download,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\ai-side-hustle-en\cover.pdf,,,,,,,,,,,KDP-AI-SIDE-HUSTLE-EN,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\ai-side-hustle-en\ai_side_hustle_en.pdf
"Airbnb Guest Book: Vacation Rental Visitor Log with Guest Reviews, Local Recommendations & Memorable Stay Notes","Airbnb Guest Book: Vacation Rental Visitor Log with Guest Reviews, Local Recommendations & Memorable Stay Notes

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",9.99,USD,999,"airbnb guest book,vrbo guest book,airbnb host supplies,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf","PDF,digital,printable",Digital Download,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\airbnb-guestbook\cover.pdf,,,,,,,,,,,KDP-AIRBNB-GUESTBOOK,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\airbnb-guestbook\airbnb_guestbook.pdf
Bird Watching Journal,"**Every flutter. Every song. Every lifer.**
The Bird Watching Journal is the field-tested companion serious birders and curious backyard watchers have been waiting for. Whether you're chasing warblers during spring migration, tallying feeder visitors with your morning coffee, or guiding someone into their first season of birding — this book turns each sighting into a record worth keeping.

**WHAT'S INSIDE (113 pages, 6 x 9 in)**
- 100 detailed sighting log pages — one rich entry per page
- 4 trip planner spreads to organize outings before you head out
- 5-page Life List section (100 species, numbered) to track every lifer
- 8-prompt Birder Profile to record your home patch and goals
- Pro tips for identification, ear-birding, and field observation
- Field notes & reflections section for migration journals and gear logs

**EVERY SIGHTING PAGE CAPTURES**
- Common name + scientific name
- Family / group + count
- Location + GPS coordinates / park / refuge
- Habitat: forest, wetland, grassland, coastal, urban, backyard
- Weather, temperature, wind
- Identification: size class, plumage, beak shape, song / call
- Behavior: feeding, singing, flying, nesting, mating display, foraging
- Notes / field sketch space
- Lifer tag + photo / audio capture flags

**WHO THIS IS FOR**
- Beginning birders building their first life list
- Experienced birders who want a simple, durable field log
- Backyard watchers tracking feeder regulars
- Naturalists, hikers, and nature journalers
- A thoughtful gift for retirees, parents, grandparents — and any nature lover with a pair of binoculars on the windowsill

**WHY THIS JOURNAL**
Apps are great for fast counts, but paper teaches observation. Sketching a bird's posture, writing out a song in syllables, and noting habitat and behavior in your own hand sharpen the kind of attention that turns ""sparrow"" into ""white-throated sparrow"" — and lights up a lifetime hobby. This journal is light enough for a field bag, structured enough to pull observations out of even quick sightings, and roomy enough for the long entries that special days deserve.

**SPECS**
- 6 x 9 inches (perfect bag size)
- 113 pages, white interior
- Soft matte paperback cover
- Forest green & sage classic field-guide aesthetic

Perfect for Mother's Day, Father's Day, retirement gifts, birthday gifts for nature lovers, and the start of every spring migration season.

**Open the cover. Step outside. Start your list.**

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",5.99,USD,999,"printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf,digital,aesthetic,download","PDF,digital,printable",Printable Planner,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\etsy\cover_generated\bird-watching-journal.png,,,,,,,,,,,KDP-BIRD-WATCHING-JOURNAL,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\bird-watching-journal\bird_watching_journal.pdf
"Blood Pressure Log Book: Daily Blood Pressure Recording Journal with Morning & Evening Readings, Pulse Rate Tracker, Weekly Averages","Blood Pressure Log Book: Daily Blood Pressure Recording Journal with Morning & Evening Readings, Pulse Rate Tracker, Weekly Averages

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",6.99,USD,999,"hypertension diary,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf,digital,aesthetic","PDF,digital,printable",Printable Planner,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\blood-pressure-log\cover.pdf,,,,,,,,,,,KDP-BLOOD-PRESSURE-LOG,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\blood-pressure-log\blood_pressure_log.pdf
"Diabetic Blood Sugar Log Book: Daily Glucose Monitoring Diary with Before & After Meal Tracking, Insulin Dose Log, Exercise Record & Weekly","Diabetic Blood Sugar Log Book: Daily Glucose Monitoring Diary with Before & After Meal Tracking, Insulin Dose Log, Exercise Record & Weekly

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",7.99,USD,999,"blood sugar log book,diabetic journal,glucose tracker,insulin log book,a1c tracker diabetes,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner","PDF,digital,printable",Printable Planner,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\blood-sugar-tracker\cover.pdf,,,,,,,,,,,KDP-BLOOD-SUGAR-TRACKER,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\blood-sugar-tracker\blood_sugar_tracker.pdf
"Bold and Easy Coloring Book: Animals - 50 Simple Large Print Designs with Thick Lines for Adults, Seniors & Beginners","Bold and Easy Coloring Book: Animals - 50 Simple Large Print Designs with Thick Lines for Adults, Seniors & Beginners

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",7.99,USD,999,"printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf,digital,aesthetic,download","PDF,digital,printable",Printable Art,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\bold-easy-coloring-animals\cover.pdf,,,,,,,,,,,KDP-BOLD-EASY-COLORING-ANIMALS,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\bold-easy-coloring-animals\bold_easy_coloring_animals.pdf
"Budget Planner for Couples: Monthly Financial Organizer with Joint & Individual Expense Tracking, Savings Goals & Debt Payoff Tracker","Budget Planner for Couples: Monthly Financial Organizer with Joint & Individual Expense Tracking, Savings Goals & Debt Payoff Tracker

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",11.99,USD,999,"joint budget book,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf,digital,aesthetic","PDF,digital,printable",Printable Planner,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\budget-planner-couples\cover.pdf,,,,,,,,,,,KDP-BUDGET-PLANNER-COUPLES,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\budget-planner-couples\budget_planner_couples.pdf
Caregiver Daily Log Book: Essential Care Tracker for Family Caregivers,"<p><strong>Stay organized and provide the best care possible with this comprehensive Caregiver Daily Log Book.</strong></p>

<p>Caring for a loved one is one of the most meaningful — and challenging — roles a person can take on. Whether you're supporting an aging parent, a spouse with a chronic illness, or a family member recovering from surgery, staying organized is the key to providing consistent, high-quality care.</p>

<p><strong>This 112-page log book gives you a clear, easy-to-use system for every aspect of caregiving:</strong></p>

<ul>
<li><strong>Daily Care Log Pages</strong> — Track vitals (blood pressure, heart rate, blood sugar, temperature, O2), meals, fluid intake, medications given, mood, behavior, pain levels, and daily notes</li>
<li><strong>Weekly Summary Pages</strong> — Review health trends, record doctor-worthy concerns, and set goals for the week ahead</li>
<li><strong>Medication List</strong> — Maintain a master list of all medications, dosages, frequency, purpose, and prescribing doctor</li>
<li><strong>Appointment Log</strong> — Never miss a follow-up with a dedicated tracker for dates, providers, and outcomes</li>
<li><strong>Emergency Contacts Page</strong> — Keep all critical numbers and contacts in one easily accessible place</li>
<li><strong>Care Recipient Info Page</strong> — Store key personal, medical, and insurance information</li>
</ul>

<p><strong>Why caregivers love this log book:</strong></p>
<ul>
<li>Spot health changes early before they become serious</li>
<li>Communicate clearly with doctors and specialists</li>
<li>Seamlessly hand off care duties to other family members</li>
<li>Reduce stress and mental overload with structured documentation</li>
<li>Create a reliable medical history for your loved one</li>
</ul>

<p><strong>Book Details:</strong></p>
<ul>
<li>Size: 8.5 x 11 inches (large, easy-to-read format)</li>
<li>112 pages</li>
<li>Matte softcover</li>
<li>Clean, professional layout with sage green accents</li>
</ul>

<p>Perfect for family caregivers, home health aides, adult children caring for elderly parents, and professional caregivers supporting patients at home.</p>

<p><em>Order multiple copies to cover an entire year of caregiving records.</em></p>

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",8.99,USD,999,"home health aide log,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf,digital,aesthetic","PDF,digital,printable",Printable Planner,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\caregiver-daily-log\cover.pdf,,,,,,,,,,,KDP-CAREGIVER-DAILY-LOG,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\caregiver-daily-log\caregiver_daily_log.pdf
"Cottagecore Aesthetic Coloring Book: 50 Whimsical Designs of Flowers, Gardens, Tea Parties, Cats & Cozy Country Life","Cottagecore Aesthetic Coloring Book: 50 Whimsical Designs of Flowers, Gardens, Tea Parties, Cats & Cozy Country Life

---

INSTANT DOWNLOAD
After purchase, you'll receive a downloadable PDF immediately.

FORMAT
- High-quality printable PDF
- US Letter (8.5 x 11) and A4 friendly
- Print at home, at any print shop, or use digitally

REFUND POLICY
Digital downloads are non-refundable due to their instant nature. If you have any issues, message me and I'll make it right.

COPYRIGHT
For personal use only. Not for resale or redistribution.

Thank you for supporting an indie creator.",8.99,USD,999,"flower coloring book,cozy coloring book,printable,digital download,instant download,pdf download,planner,journal,digital art,printable planner,minimalist,pdf,digital","PDF,digital,printable",Printable Art,made_to_order,automatic,i_did,false,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\cottagecore-coloring\cover.pdf,,,,,,,,,,,KDP-COTTAGECORE-COLORING,,Digital,download,Craft Supplies & Tools > Patterns & How To > Patterns,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\cottagecore-coloring\cottagecore_coloring.pdf
